0,sigma1,sigma2,sigma3,sigma4,vix
20190102,0.239625506,0.200703865,0.203941408,0.185118702,22.17971578
20190103,0.23700557,0.201784996,0.201218781,0.182597702,21.92634241
20190104,0.228230539,0.200081048,0.19887637,0.179332269,21.27639569
20190107,0.242355552,0.204177549,0.200519023,0.179132318,21.71261129
20190108,0.233465994,0.196247012,0.194715035,0.175459809,20.75631364
20190109,0.214614075,0.181266159,0.18948228,0.172115738,19.0267894
20190110,0.211418629,0.181435036,0.184437791,0.167481954,18.85304836
20190111,0.203247155,0.178544432,0.181781447,0.166822229,18.36041376
20190114,0.221955477,0.180398029,0.182183367,0.16604023,18.58761498
20190115,0.219988648,0.172746085,0.174294299,0.160623632,17.79857272
20190116,0.209801523,0.162607535,0.168615684,0.157210851,16.68749465
20190117,0.170817362,0.173171337,0.159983663,,16.8662125
20190118,0.174177227,0.179932777,0.159278605,,16.93747841
20190121,0.188068234,0.183168175,0.165833617,,19.066986
20190122,0.175012301,0.183322618,0.167133806,,17.10789012
20190123,0.169016371,0.177457188,0.166200858,,16.57402754
20190124,0.153659066,0.166640549,0.15998571,0.142913035,14.96112271
20190125,0.149752953,0.158920166,0.152537486,0.138155999,14.76803388
20190128,0.164447799,0.170243662,0.157337094,0.147612156,16.4447799
20190129,0.177416759,0.179191473,0.160948488,0.144913105,17.75377469
20190130,0.1835981,0.184323262,0.16497268,0.152690077,18.36949533
20190131,0.178809099,0.183327613,0.162453842,0.145976108,17.97056311
20190201,0.182012516,0.186458268,0.162266256,0.137056393,18.31660158
20190211,0.193895256,0.181546274,0.155222979,0.142983306,18.49199878
20190212,0.190895543,0.176241305,0.153084591,0.140333048,17.97496921
20190213,0.208614178,0.183943372,0.153199432,0.136479364,18.91351538
20190214,0.224678556,0.199265799,0.163644341,0.147915894,20.38159341
20190215,0.206546218,0.197002333,0.171740567,0.154422376,19.83938566
20190218,0.233535572,0.206025423,0.170392631,0.147000587,20.82148029
20190219,0.244737822,0.215782029,0.17619905,0.149456384,21.75404971
20190220,0.254303998,0.221485052,0.179579444,0.152233841,22.29489829
20190221,0.221462483,0.183329775,0.163388468,,22.77558021
20190222,0.219102044,0.174540383,0.15516316,,22.44904383
20190225,0.231746983,0.162235847,0.134483385,,23.17469829
20190226,0.285259158,0.213989467,0.182630879,,28.25044674
20190227,0.289759166,0.211655183,0.181263937,,28.38066438
20190228,0.277634416,0.239142542,0.20233667,0.174859332,27.05061333
20190301,0.274222226,0.223732042,0.198410537,0.160354828,26.21694002
20190304,0.304317829,0.2520221,0.201698945,0.162523852,28.32742579
20190305,0.311355228,0.26060289,0.20862587,0.167370524,28.83038674
20190306,0.327446763,0.271034349,0.215633876,0.170408907,29.91595834
20190307,0.347952783,0.287448147,0.228577806,0.181672456,31.48058736
20190308,0.343566369,0.279445365,0.231521692,0.193309055,30.56971085
20190311,0.327597734,0.270508762,0.216443477,0.183300618,28.68456022
20190312,0.332107065,0.272075954,0.217504948,0.185429009,28.71325386
20190313,0.327093496,0.276233501,0.219919554,0.188018573,28.71271296
20190314,0.308683742,0.269700981,0.217429638,0.187319803,27.67254657
20190315,0.287535127,0.257754124,0.215700415,0.188740624,26.22157179
20190318,0.321119847,0.260661516,0.212507376,0.174322239,26.56735604
20190319,0.332031106,0.274929597,0.224483683,0.18603664,27.85080998
20190320,0.331080396,0.276648112,0.213576293,0.184051994,27.91281306
20190321,0.284891652,0.228449013,0.185837509,,29.51464335
20190322,0.281156191,0.226827434,0.185365824,,28.85380936
20190325,0.265180334,0.217455169,0.190831954,,26.51803339
20190326,0.250619864,0.213025978,0.186688455,,24.89213923
20190327,0.242611233,0.207486653,0.184149491,,23.94531567
20190328,0.234626171,0.208829253,0.203646261,0.181672831,22.97875971
20190329,0.246593621,0.19722457,0.20426182,0.178758619,23.48918622
20190401,0.26595015,0.222454052,0.203190419,0.163511087,24.83966979
20190402,0.293758911,0.25034871,0.228086341,0.188769201,27.39466446
20190403,0.290803392,0.252461029,0.220220523,0.190273358,27.13500338
20190404,0.299907126,0.267594425,0.243711484,0.201129467,28.18966267
20190408,0.329761028,0.287365008,0.259742495,0.216581921,29.92584686
20190409,0.310302845,0.277039263,0.243830902,0.212385091,28.51072639
20190410,0.320179168,0.281979726,0.249266478,0.214883165,29.00224003
20190411,0.313429453,0.278915671,0.252391877,0.218863119,28.50864973
20190412,0.283093096,0.260262359,0.24033992,0.21147698,26.36449651
20190415,0.299908358,0.261643981,0.242903438,0.212262349,26.4705745
20190416,0.298146511,0.261111466,0.240954338,0.202902242,26.33680863
20190417,0.301001888,0.273167638,0.251215134,0.213035378,27.43837782
20190418,0.272985213,0.250727298,0.220236761,,27.85408154
20190419,0.269189671,0.250516035,0.214160014,,27.26693645
20190422,0.28231283,0.255350459,0.221251078,,28.23128298
20190423,0.266086544,0.246822804,0.216555001,,26.49524595
20190424,0.261445246,0.242881348,0.215605587,,25.92877637
