,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20200227,open a position,option(delta<0.25),0.24644969075311168,10002072.SH,3.1,0.12322484537655584,0.0087,0.19855573773384094,0.11636916255378355,1.2507363520767403,0.15428221883306048,-0.21363133471744797
20200227,open a position,option(delta>0.25),1.7535503092468883,10002071.SH,3.0,0.8767751546234441,0.0239,0.18955042958259583,0.26878091457657893,2.208099850593351,0.26002262802361503,-0.3482468624254548
20200227,open a position,option(delta<0.5),-0.12740537552313563,10002070.SH,2.95,0.12740537552313563,0.04,0.19204851984977722,0.3874241445058086,2.5298726294416336,0.30184034095690593,-0.4134757813488847
20200227,open a position,option(delta>0.5),-0.8725946244768643,10002069.SH,2.9,0.8725946244768643,0.0614,0.19170346856117249,0.5164369212710592,2.638016080228287,0.3141774939906441,-0.4358075376586056
20200228,close a position,option(delta<0.25),-0.24644969075311168,10002072.SH,3.1,0.12322484537655584,0.006,0.24304106831550598,0.07524160820367722,0.7774055462533084,0.10657515425883071,-0.1859276911499808
20200228,close a position,option(delta>0.25),-1.7535503092468883,10002071.SH,3.0,0.8767751546234441,0.0123,0.2188100516796112,0.1486130443827401,1.4100242538517984,0.17402935935501193,-0.2754058496230817
20200228,close a position,option(delta<0.5),0.12740537552313563,10002070.SH,2.95,0.12740537552313563,0.0211,0.22018364071846008,0.22676868276374818,1.821663483501398,0.22624650073313657,-0.3620089848324193
20200228,close a position,option(delta>0.5),0.8725946244768643,10002069.SH,2.9,0.8725946244768643,0.0344,0.2224121391773224,0.3251112481854763,2.1549514348228884,0.27034892313612335,-0.4396677620095997
20200228,open a position,option(delta<0.25),1.5275429894140424,10002070.SH,2.95,0.7637714947070212,0.0211,0.22018364071846008,0.22676868276374818,1.821663483501398,0.22624650073313657,-0.3620089848324193
20200228,open a position,option(delta>0.25),0.47245701058595757,10002069.SH,2.9,0.23622850529297879,0.0344,0.2224121391773224,0.3251112481854763,2.1549514348228884,0.27034892313612335,-0.4396677620095997
20200228,open a position,option(delta<0.5),-0.4594056082412043,10002068.SH,2.85,0.4594056082412043,0.0526,0.22361508011817932,0.4367220274171733,2.3454988314502176,0.2958455074552634,-0.4878875552724319
20200228,open a position,option(delta>0.5),-0.5405943917587956,10002067.SH,2.8,0.5405943917587956,0.078,0.22983327507972717,0.5537746153601505,2.2901470066189393,0.2968964032844861,-0.5085753881510255
20200302,close a position,option(delta<0.25),-1.5275429894140424,10002070.SH,2.95,0.7637714947070212,0.0353,0.19061091542243958,0.37668115157956866,2.737525901052121,0.2763359614834554,-0.4390800050833108
20200302,close a position,option(delta>0.25),-0.47245701058595757,10002069.SH,2.9,0.23622850529297879,0.0566,0.1904599964618683,0.5171697101699969,2.875663913393311,0.29005028845206715,-0.4671945120844238
20200302,close a position,option(delta<0.5),0.4594056082412043,10002068.SH,2.85,0.4594056082412043,0.085,0.1902749240398407,0.6580571006689325,2.651936804572905,0.26722441202539454,-0.43990693809661
20200302,close a position,option(delta>0.5),0.5405943917587956,10002067.SH,2.8,0.5405943917587956,0.1216,0.19654008746147156,0.7747214566467098,2.098370370708565,0.2184060641395981,-0.38309123339846374
20200302,open a position,option(delta<0.25),0.07383874265479194,10002072.SH,3.1,0.03691937132739597,0.0079,0.20909050107002258,0.10992207290976302,1.2351484315065722,0.1367681135933197,-0.2331255728915483
20200302,open a position,option(delta>0.25),1.926161257345208,10002071.SH,3.0,0.963080628672604,0.021,0.19271257519721985,0.2553698401266198,2.2914320022328805,0.23385595386407168,-0.37198305702606516
20200302,open a position,option(delta<0.5),-0.12221429518721473,10002070.SH,2.95,0.12221429518721473,0.0353,0.19061091542243958,0.37668115157956866,2.737525901052121,0.2763359614834554,-0.4390800050833108
